Algeria,2010,-
,2012,-
,2011,-
Angola,2010,38
,2011,39
,2012,34
Benin,2010,19
,2011,100
,2012,100
Botswana,2010,22
,2011,18
,2012,21
Burkina Faso,2010,100
,2011,99
,2012,87
Burundi,2010,99
,2011,100
,2012,100
Cabo Verde,2010,-
,2011,-
,2012,-
Cameroon,2010,10
,2011,71
,2012,71
Central African Republic,2010,74
,2011,38
,2012,39
Chad,2010,5
,2011,58
,2012,56
Comoros,2010,74
,2011,69
,2012,68
Congo,2010,-
,2011,22
,2012,71
C“te d'Ivoire,2010,21
,2011,86
,2012,75
Democratic Republic of the Congo,2010,46
,2011,62
,2012,90
Equatorial Guinea,2010,18
,2011,1
,2012,2
Eritrea,2010,26
,2011,45
,2012,35
Ethiopia,2010,59
,2011,60
,2012,71
Gabon,2010,0
,2011,-
,2012,-
Gambia,2010,48
,2011,93
,2012,100
Ghana,2010,15
,2011,39
,2012,93
Guinea,2010,5
,2011,2
,2012,3
Guinea-Bissau,2010,40
,2011,26
,2012,34
Kenya,2010,37
,2011,73
,2012,79
Liberia,2010,75
,2011,100
,2012,74
Madagascar,2010,67
,2011,62
,2012,76
Malawi,2010,42
,2011,41
,2012,100
Mali,2010,38
,2011,65
,2012,86
Mauritania,2010,51
,2011,55
,2012,54
"Mayotte, France",2010,9
,2011,18
,2012,100
Mozambique,2010,37
,2011,44
,2012,53
Namibia,2010,56
,2011,30
,2012,30
Niger,2010,13
,2011,14
,2012,19
Nigeria,2010,51
,2011,61
,2012,54
Rwanda,2010,79
,2011,90
,2012,100
Sao Tome and Principe,2010,87
,2011,80
,2012,100
Senegal,2010,62
,2011,72
,2012,44
Sierra Leone,2010,100
,2011,100
,2012,100
South Africa,2010,-
,2011,-
,2012,-
Swaziland,2010,49
,2011,63
,2012,83
Togo,2010,55
,2011,78
,2012,84
Uganda,2010,56
,2011,46
,2012,45
United Republic of Tanzania,2010,34
,2011,30
,2012,-
Mainland,2010,69
,2011,100
,2012,95
Zanzibar,2010,70
,2011,45
,2012,93
Zambia,2010,52
,2011,81
,2012,94
Zimbabwe,2010,55
,2011,52
,2012,46
Argentina,2010,-
,2011,-
,2012,-
Belize,2010,2
,2011,2
,2012,-
Bolivia (Plurinational State of),2010,20
,2011,33
,2012,39
Brazil,2010,6
,2011,6
,2012,18
Colombia,2010,6
,2011,11
,2012,16
Costa Rica,2010,32
,2011,47
,2012,49
Dominican Republic,2010,38
,2011,64
,2012,88
Ecuador,2010,100
,2011,100
,2012,87
El Salvador,2010,-
,2011,-
,2012,-
"French Guiana, France",2010,6
,2011,-
,2012,-
Guatemala,2010,6
,2011,1
,2012,50
Guyana,2010,11
,2011,18
,2012,28
Haiti,2010,4
,2011,-
,2012,100
Honduras,2010,1
,2011,3
,2012,7
Mexico,2010,100
,2011,100
,2012,100
Nicaragua,2010,100
,2011,100
,2012,100
Panama,2010,-
,2011,-
,2012,-
Paraguay,2010,1
,2011,-
,2012,-
Peru,2010,-
,2011,-
,2012,-
Suriname,2010,63
,2011,33
,2012,32
Venezuela (Bolivarian Republic of),2010,6
,2011,4
,2012,3
Afghanistan,2010,51
,2011,100
,2012,98
Djibouti,2010,96
,2011,37
,2012,23
Iran (Islamic Republic of),2010,10
,2011,10
,2012,17
Pakistan,2010,2
,2011,1
,2012,2
Saudi Arabia,2010,30
,2011,21
,2012,46
Somalia,2010,20
,2011,21
,2012,20
South Sudan3,2010,100
,2011,100
,2012,60
Sudan,2010,39
,2011,33
,2012,22
Yemen,2010,17
,2011,11
,2012,31
Azerbaijan,2010,26
,2011,34
,2012,18
Kyrgyzstan,2010,100
,2011,100
,2012,100
Tajikistan,2010,69
,2011,100
,2012,100
Turkey,2010,-
,2011,-
,2012,-
Uzbekistan,2010,65
,2011,100
,2012,100
Bangladesh,2010,100
,2011,100
,2012,89
Bhutan,2010,100
,2011,100
,2012,100
Democratic People's Republic of Korea,2010,21
,2011,26
,2012,43
India,2010,3
,2011,8
,2012,6
Indonesia,2010,23
,2011,28
,2012,26
Myanmar,2010,10
,2011,20
,2012,35
Nepal,2010,100
,2011,100
,2012,100
Sri Lanka,2010,45
,2011,83
,2012,53
Thailand,2010,44
,2011,32
,2012,23
Timor-Leste,2010,53
,2011,41
,2012,45
Cambodia,2010,36
,2011,69
,2012,100
China,2010,100
,2011,100
,2012,100
Lao People's Democratic Republic,2010,100
,2011,42
,2012,84
Malaysia,2010,100
,2011,100
,2012,100
Papua New Guinea,2010,46
,2011,68
,2012,86
Philippines,2010,87
,2011,100
,2012,100
Republic of Korea,2010,1
,2011,1
,2012,1
Solomon Islands,2010,100
,2011,100
,2012,100
Vanuatu,2010,100
,2011,100
,2012,100
Viet Nam,2010,14
,2011,14
,2012,18
,,
,,
,,
,,
,,
